"DateKey","FullDateAlternateKey","DayNumberOfWeek","EnglishDayNameOfWeek","SpanishDayNameOfWeek","FrenchDayNameOfWeek","DayNumberOfMonth","DayNumberOfYear","WeekNumberOfYear","EnglishMonthName","SpanishMonthName","FrenchMonthName","MonthNumberOfYear","CalendarQuarter","CalendarYear","CalendarSemester","FiscalQuarter","FiscalYear","FiscalSemester"
"20170701","01/07/2017 00:00:00","7","Saturday","Sábado","Samedi","1","182","26","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170702","02/07/2017 00:00:00","1","Sunday","Domingo","Dimanche","2","183","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170703","03/07/2017 00:00:00","2","Monday","Lunes","Lundi","3","184","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170704","04/07/2017 00:00:00","3","Tuesday","Martes","Mardi","4","185","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170705","05/07/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","5","186","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170706","06/07/2017 00:00:00","5","Thursday","Jueves","Jeudi","6","187","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170707","07/07/2017 00:00:00","6","Friday","Viernes","Vendredi","7","188","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170708","08/07/2017 00:00:00","7","Saturday","Sábado","Samedi","8","189","27","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170709","09/07/2017 00:00:00","1","Sunday","Domingo","Dimanche","9","190","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170710","10/07/2017 00:00:00","2","Monday","Lunes","Lundi","10","191","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170711","11/07/2017 00:00:00","3","Tuesday","Martes","Mardi","11","192","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170712","12/07/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","12","193","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170713","13/07/2017 00:00:00","5","Thursday","Jueves","Jeudi","13","194","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170714","14/07/2017 00:00:00","6","Friday","Viernes","Vendredi","14","195","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170715","15/07/2017 00:00:00","7","Saturday","Sábado","Samedi","15","196","28","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170716","16/07/2017 00:00:00","1","Sunday","Domingo","Dimanche","16","197","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170717","17/07/2017 00:00:00","2","Monday","Lunes","Lundi","17","198","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170718","18/07/2017 00:00:00","3","Tuesday","Martes","Mardi","18","199","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170719","19/07/2017 00:00:00","4","Wednesday","Miércoles","Mercredi","19","200","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170720","20/07/2017 00:00:00","5","Thursday","Jueves","Jeudi","20","201","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170721","21/07/2017 00:00:00","6","Friday","Viernes","Vendredi","21","202","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170722","22/07/2017 00:00:00","7","Saturday","Sábado","Samedi","22","203","29","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170723","23/07/2017 00:00:00","1","Sunday","Domingo","Dimanche","23","204","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170724","24/07/2017 00:00:00","2","Monday","Lunes","Lundi","24","205","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
"20170725","25/07/2017 00:00:00","3","Tuesday","Martes","Mardi","25","206","30","July","Julio","Juillet","7","3","2017","2","1","2018","1"
