"SalesTerritoryKey","SalesTerritoryAlternateKey","SalesTerritoryRegion","SalesTerritoryCountry","SalesTerritoryGroup","SalesTerritoryImage"
"1","1","Northwest","United States","North America","System.Byte[]"
"2","2","Northeast","United States","North America","System.Byte[]"
"3","3","Central","United States","North America","System.Byte[]"
"4","4","Southwest","United States","North America","System.Byte[]"
"5","5","Southeast","United States","North America","System.Byte[]"
"6","6","Canada","Canada","North America","System.Byte[]"
"7","7","France","France","Europe","System.Byte[]"
"8","8","Germany","Germany","Europe","System.Byte[]"
"9","9","Australia","Australia","Pacific","System.Byte[]"
"10","10","United Kingdom","United Kingdom","Europe","System.Byte[]"
"11","0","Corporate HQ","Corporate HQ","Corporate HQ",""
