"CurrencyKey","Date","AverageRate","EndOfDayRate"
"3","01/01/2018 00:00:00","1,000000","1,000000"
"3","02/01/2018 00:00:00","1,000000","0,999600"
"3","03/01/2018 00:00:00","1,000000","1,000500"
"3","04/01/2018 00:00:00","1,000000","0,999500"
"3","05/01/2018 00:00:00","1,000000","1,000200"
"3","06/01/2018 00:00:00","1,000000","0,999201"
"3","07/01/2018 00:00:00","1,000000","1,000200"
"3","08/01/2018 00:00:00","1,000000","0,999600"
"3","09/01/2018 00:00:00","1,000000","1,000901"
"3","10/01/2018 00:00:00","1,000000","0,999600"
"3","11/01/2018 00:00:00","1,000000","1,000801"
"3","12/01/2018 00:00:00","1,000000","0,999300"
"3","13/01/2018 00:00:00","1,000000","1,001001"
"3","14/01/2018 00:00:00","1,000000","0,999300"
"3","15/01/2018 00:00:00","1,000000","1,000901"
"3","16/01/2018 00:00:00","1,000000","0,999900"
"3","17/01/2018 00:00:00","1,000000","1,000700"
"3","18/01/2018 00:00:00","1,000000","0,999600"
"3","19/01/2018 00:00:00","1,000000","1,000500"
"3","20/01/2018 00:00:00","1,000000","0,999600"
"3","21/01/2018 00:00:00","1,000000","1,001001"
"3","22/01/2018 00:00:00","1,000000","1,000000"
"3","23/01/2018 00:00:00","1,000400","1,001101"
"3","24/01/2018 00:00:00","1,000400","1,000300"
"3","25/01/2018 00:00:00","1,000400","1,000700"
"3","26/01/2018 00:00:00","1,000400","0,999800"
"3","27/01/2018 00:00:00","1,000400","1,001001"
"3","28/01/2018 00:00:00","1,000400","0,999900"
"3","29/01/2018 00:00:00","1,000400","1,001101"
"3","30/01/2018 00:00:00","1,000400","0,999600"
"3","31/01/2018 00:00:00","1,000400","1,001001"
"3","01/02/2018 00:00:00","1,000400","1,000300"
"3","02/02/2018 00:00:00","1,000400","1,000901"
"3","03/02/2018 00:00:00","1,000400","0,999600"
"3","04/02/2018 00:00:00","1,000400","1,000901"
"3","05/02/2018 00:00:00","1,000400","1,000000"
"3","06/02/2018 00:00:00","1,000400","1,000700"
"3","07/02/2018 00:00:00","1,000400","0,999600"
"3","08/02/2018 00:00:00","1,000400","1,000901"
"3","09/02/2018 00:00:00","1,000400","0,999700"
"3","10/02/2018 00:00:00","1,000400","1,000500"
"3","11/02/2018 00:00:00","1,000100","1,000100"
"3","12/02/2018 00:00:00","1,000200","1,001001"
"3","13/02/2018 00:00:00","1,000100","0,999700"
"3","14/02/2018 00:00:00","1,000100","1,000200"
"3","15/02/2018 00:00:00","1,000100","0,999500"
"3","16/02/2018 00:00:00","1,000100","1,001001"
"3","17/02/2018 00:00:00","1,000100","0,999900"
"3","18/02/2018 00:00:00","1,000100","1,000700"
"3","19/02/2018 00:00:00","1,000100","1,000000"
"3","20/02/2018 00:00:00","1,000100","1,000100"
"3","21/02/2018 00:00:00","1,000400","1,000100"
"3","22/02/2018 00:00:00","1,000400","1,001201"
"3","23/02/2018 00:00:00","1,000400","1,000000"
"3","24/02/2018 00:00:00","1,000100","1,000100"
"3","25/02/2018 00:00:00","1,000100","0,999700"
"3","26/02/2018 00:00:00","1,000100","1,001001"
"3","27/02/2018 00:00:00","1,000200","0,999700"
"3","28/02/2018 00:00:00","1,000801","1,001101"
"3","01/03/2018 00:00:00","1,000801","1,000400"
"3","02/03/2018 00:00:00","1,000801","1,001001"
"3","03/03/2018 00:00:00","1,000100","0,999600"
"3","04/03/2018 00:00:00","1,000100","1,001001"
"3","05/03/2018 00:00:00","1,000200","0,999900"
"3","06/03/2018 00:00:00","1,000200","1,000400"
"3","07/03/2018 00:00:00","1,000500","0,999900"
"3","08/03/2018 00:00:00","1,000500","1,001001"
"3","09/03/2018 00:00:00","1,000500","1,000000"
"3","10/03/2018 00:00:00","1,000100","1,000400"
"3","11/03/2018 00:00:00","1,000200","0,999900"
"3","12/03/2018 00:00:00","1,000200","1,001101"
"3","13/03/2018 00:00:00","1,000200","0,999900"
"3","14/03/2018 00:00:00","1,000000","1,000901"
"3","15/03/2018 00:00:00","1,000000","0,999800"
"3","16/03/2018 00:00:00","1,000000","1,000300"
"3","17/03/2018 00:00:00","1,000200","0,999600"
"3","18/03/2018 00:00:00","1,000200","1,000801"
"3","19/03/2018 00:00:00","1,000200","1,000100"
