"FinanceKey","Date","ScenarioKey","AccountKey","Amount"
"1","01/07/2017 00:00:00","1","4","759504,79"
"2","01/07/2017 00:00:00","1","6","1085311,52"
"3","01/07/2017 00:00:00","1","7","31805,37"
"4","01/07/2017 00:00:00","1","8","21704,06"
"5","01/07/2017 00:00:00","1","10","308472,00"
"6","01/07/2017 00:00:00","1","11","176270,00"
"7","01/07/2017 00:00:00","1","12","212985,88"
"8","01/07/2017 00:00:00","1","13","166846,85"
"9","01/07/2017 00:00:00","1","14","112642,63"
"10","01/07/2017 00:00:00","1","15","209697,72"
"11","01/07/2017 00:00:00","1","18","62531,21"
"12","01/07/2017 00:00:00","1","19","199257,40"
"13","01/07/2017 00:00:00","1","20","62495,25"
"14","01/07/2017 00:00:00","1","21","365375,19"
"15","01/07/2017 00:00:00","1","22","53765,79"
"16","01/07/2017 00:00:00","1","23","22057,09"
"17","01/07/2017 00:00:00","1","24","114001,93"
"18","01/07/2017 00:00:00","1","28","94316,50"
"19","01/07/2017 00:00:00","1","29","817330,11"
"20","01/07/2017 00:00:00","1","31","333807,10"
"21","01/07/2017 00:00:00","1","32","146490,16"
"22","01/07/2017 00:00:00","1","33","125253,17"
"23","01/07/2017 00:00:00","1","34","77204,66"
"24","01/07/2017 00:00:00","1","35","183214,98"
"25","01/07/2017 00:00:00","1","37","157031,39"
"26","01/07/2017 00:00:00","1","38","154978,13"
"27","01/07/2017 00:00:00","1","39","325225,66"
"28","01/07/2017 00:00:00","1","40","137639,37"
"29","01/07/2017 00:00:00","1","42","2150000,00"
"30","01/07/2017 00:00:00","1","43","-2892835,32"
"31","01/07/2017 00:00:00","1","45","2303443,30"
"32","01/07/2017 00:00:00","1","46","-247985,57"
"33","01/07/2017 00:00:00","1","52","20903,64"
"34","01/07/2017 00:00:00","1","53","9353,70"
"35","01/07/2017 00:00:00","1","56","247624,36"
"36","01/07/2017 00:00:00","1","57","20136,85"
"37","01/07/2017 00:00:00","1","60","430452,20"
"38","01/07/2017 00:00:00","1","61","42541,40"
"39","01/07/2017 00:00:00","1","62","31426,24"
