freq,projection,sex,age,unit,geo\TIME_PERIOD	2022 	2023 	2025 	2030 	2035 	2040 	2045 	2050 	2055 	2060 	2065 	2070 	2075 	2080 	2085 	2090 	2095 	2100 
A,BSL,F,TOTAL,PER,AT	4553444 	4619179 	4642165 	4686892 	4734368 	4780656 	4814560 	4836014 	4839779 	4831502 	4820665 	4815896 	4815440 	4813204 	4809095 	4805327 	4805013 	4807661 
A,BSL,F,TOTAL,PER,BE	5883978 	5947528 	5995842 	6081967 	6168969 	6255391 	6323558 	6368077 	6390878 	6402529 	6412147 	6424453 	6436156 	6437604 	6423909 	6398339 	6367153 	6331785 
A,BSL,F,TOTAL,PER,BG	3527626 	3605059 	3564456 	3406408 	3274235 	3176232 	3090248 	3010025 	2934073 	2856099 	2776604 	2703893 	2643481 	2596548 	2564156 	2547017 	2542735 	2543673 
A,BSL,F,TOTAL,PER,CH	4400588 	4456498 	4501984 	4603352 	4696172 	4779734 	4851539 	4912805 	4957625 	4984953 	5001241 	5015196 	5028190 	5038142 	5045527 	5053335 	5065836 	5081250 
A,BSL,F,TOTAL,PER,CY	463622 	476907 	485033 	491975 	496168 	499321 	501263 	502996 	504756 	506359 	507065 	506121 	503961 	501426 	499383 	499159 	501066 	504781 
A,BSL,F,TOTAL,PER,CZ	5332932 	5608669 	5629506 	5507439 	5417794 	5391426 	5379604 	5369528 	5356823 	5329414 	5283127 	5231790 	5194698 	5178625 	5179776 	5191304 	5210557 	5229720 
A,BSL,F,TOTAL,PER,DE	42170339 	42921064 	43189130 	43094741 	42982205 	42929736 	42819094 	42659904 	42454085 	42225384 	42060310 	41983156 	41935713 	41867384 	41804389 	41758848 	41743566 	41742168 
A,BSL,F,TOTAL,PER,DK	2950505 	2981828 	3006258 	3042237 	3066229 	3078468 	3079321 	3076367 	3074542 	3075968 	3077601 	3077396 	3075990 	3071686 	3063545 	3052125 	3042035 	3035959 
A,BSL,F,TOTAL,PER,EA20	177096882 	178934451 	179844449 	180268417 	180609153 	180932025 	180686886 	179754775 	178180508 	176213622 	174247196 	172575757 	171209880 	170026832 	168940443 	167908505 	166938086 	165986249 
A,BSL,F,TOTAL,PER,EE	698381 	722603 	722505 	704375 	690582 	684421 	679261 	674129 	668729 	662299 	655547 	649463 	644662 	640414 	637001 	635312 	635735 	636634 
A,BSL,F,TOTAL,PER,EL	5345035 	5326386 	5277503 	5136158 	5005012 	4879170 	4749051 	4603303 	4439387 	4268574 	4102702 	3954517 	3835203 	3747056 	3688813 	3653849 	3632438 	3618702 
A,BSL,F,TOTAL,PER,ES	24195741 	24518040 	24884241 	25301179 	25636645 	25961079 	26181292 	26209265 	26022888 	25674378 	25248010 	24823854 	24453906 	24157079 	23916662 	23678004 	23417495 	23131295 
A,BSL,F,TOTAL,PER,EU27_2020	228390297 	231230641 	232019019 	231368030 	230767660 	230409576 	229530349 	227983533 	225807023 	223199545 	220534753 	218161007 	216181912 	214493007 	213040379 	211776446 	210715414 	209753043 
A,BSL,F,TOTAL,PER,FI	2805140 	2839017 	2852497 	2842247 	2823044 	2797974 	2766715 	2731913 	2695566 	2662029 	2631340 	2602341 	2571264 	2534884 	2492402 	2448305 	2407074 	2369735 
A,BSL,F,TOTAL,PER,FR	35035940 	35229080 	35453187 	35847532 	36206561 	36485588 	36572327 	36504574 	36339372 	36130168 	35930929 	35770158 	35619495 	35442181 	35222186 	34998657 	34781259 	34549206 
A,BSL,F,TOTAL,PER,HR	2000012 	1994685 	1965693 	1892451 	1828778 	1766354 	1704408 	1644029 	1587307 	1535966 	1491271 	1451483 	1418060 	1391106 	1371069 	1357468 	1348163 	1343100 
A,BSL,F,TOTAL,PER,HU	5044135 	5044661 	5014377 	4932502 	4858246 	4795684 	4745764 	4701057 	4664870 	4629830 	4585608 	4539504 	4504452 	4483516 	4477413 	4480688 	4491087 	4505950 
A,BSL,F,TOTAL,PER,IE	2556297 	2623904 	2670638 	2758384 	2848786 	2941783 	3024944 	3088413 	3124176 	3137250 	3136589 	3129697 	3120195 	3108108 	3091671 	3068548 	3037470 	3000067 
A,BSL,F,TOTAL,PER,IS	183153 	187677 	194206 	208129 	221207 	233319 	244011 	253398 	261939 	269968 	277441 	284046 	289496 	293709 	296751 	298853 	300520 	302044 
A,BSL,F,TOTAL,PER,IT	30211177 	30235857 	30147066 	29963470 	29828212 	29699101 	29471241 	29078751 	28516344 	27837680 	27152065 	26573437 	26144213 	25830301 	25561619 	25293442 	25024408 	24757905 
A,BSL,F,TOTAL,PER,LT	1499399 	1538001 	1525547 	1443524 	1364764 	1299019 	1235504 	1173711 	1114262 	1058555 	1007852 	963322 	925858 	894314 	868122 	848257 	836704 	831682 
